name,place_id,business_status,types,lat,lng
PREBASICA MARY F. FLORES,ChIJQxcpwaO9b48RMws-DBR27RE,OPERATIONAL,"school,point_of_interest,establishment",14.065049,-87.1715002
Kinder 19 de Septiembre,ChIJi-2Ewu-Xb48RosCJ1Os48Cw,OPERATIONAL,"primary_school,school,point_of_interest,establishment",14.0716558,-87.23432299999999
CEPBG FLOR DEL CAMPO,ChIJkfv8eUWXb48R-b0g46xwN1g,OPERATIONAL,"school,point_of_interest,establishment",14.0715011,-87.2226211
ITGIN SCHOOL,ChIJAQAAsFm9b48ROeN3Dh-lZno,OPERATIONAL,"secondary_school,school,point_of_interest,establishment",14.0692898,-87.21714519999999
Kinder Rosa Elena De Lobo,ChIJTc2Ht_OXb48RfYl9Z02Fm_8,OPERATIONAL,"school,point_of_interest,establishment",14.0765109,-87.2383289
Escuela Reino de Los Países Bajos,ChIJO-2PXDq9b48RXR9d38IjXtE,OPERATIONAL,"primary_school,school,point_of_interest,establishment",14.0705714,-87.1951667
Liceo Nuevo Siglo,ChIJL5EE9Bq9b48RdIP--TqLvu0,OPERATIONAL,"school,point_of_interest,establishment",14.0728837,-87.1703734
Jardin De Niños Los Laureles,ChIJO3QtQQ-Xb48R1CgJJSM8lLQ,OPERATIONAL,"school,point_of_interest,establishment",14.0736767,-87.2304834
CEPBG ELENA AMADOR,ChIJoWR-AUyXb48R67ZA-72K78M,OPERATIONAL,"school,point_of_interest,establishment",14.0807907,-87.22870379999999
Escuela Los Corderito De Dios,ChIJKd7aweSXb48RnpvlI4LtPQo,OPERATIONAL,"school,point_of_interest,establishment",14.0712843,-87.2285067
Centro Educativo Príncipe de Asturias,ChIJTZwEGfyXb48R5djksf_VDYE,OPERATIONAL,"point_of_interest,establishment",14.0779265,-87.22602700000002
"The Doghouse hn, Tegucigalpa, Honduras",ChIJW0W4_gq9b48RG-tI4Agkrt4,OPERATIONAL,"point_of_interest,establishment",14.0792497,-87.1957876
Jardín de Niños Amílcar Rivera Calderón,ChIJR32CfSq9b48Ryc36Yn_UcI8,OPERATIONAL,"school,point_of_interest,establishment",14.0808337,-87.1826358
ESCUELA ELLIOTT DOVER,ChIJvaeGd4uXb48RxqX9zBZlbKw,OPERATIONAL,"school,point_of_interest,establishment",14.0794526,-87.24433230000001
Eagle Wings School Humuya,ChIJDbitscqib48R0FuivRDCFS4,OPERATIONAL,"school,point_of_interest,establishment",14.0845269,-87.20139970000001
Better Children School,ChIJRz8ApGe9b48RStVZjkNCRD4,OPERATIONAL,"school,point_of_interest,establishment",14.0839813,-87.19371989999999
